CAMPUS,C29AD14R,C29ADC14R,C29ADE14R,C29ADM14R,C29ADS14R,C39AD14R,C39ADC14R,C39ADE14R,C39ADM14R,C39ADS14R,C49AD14R,C49ADC14R,C49ADE14R,C49ADM14R,C49ADS14R,CA9AD14R,CA9ADC14R,CA9ADE14R,CA9ADM14R,CA9ADS14R,CB9AD14R,CB9ADC14R,CB9ADE14R,CB9ADM14R,CB9ADS14R,CE9AD14R,CE9ADC14R,CE9ADE14R,CE9ADM14R,CE9ADS14R,CF9AD14R,CF9ADC14R,CF9ADE14R,CF9ADM14R,CF9ADS14R,CH9AD14R,CH9ADC14R,CH9ADE14R,CH9ADM14R,CH9ADS14R,CI9AD14R,CI9ADC14R,CI9ADE14R,CI9ADM14R,CI9ADS14R,CL9AD14R,CL9ADC14R,CL9ADE14R,CL9ADM14R,CL9ADS14R,CM9AD14R,CM9ADC14R,CM9ADE14R,CM9ADM14R,CM9ADS14R,CR9AD14R,CR9ADC14R,CR9ADE14R,CR9ADM14R,CR9ADS14R,CS9AD14R,CS9ADC14R,CS9ADE14R,CS9ADM14R,CS9ADS14R,CW9AD14R,CW9ADC14R,CW9ADE14R,CW9ADM14R,CW9ADS14R
"011901001",37.5,3.7,25,22.2,21.9,83.3,0,66.7,33.3,83.3,-1,-1,-1,-1,-1,33.8,3.8,14.6,16.3,18.9,28.9,1,13.6,13.2,9.9,24.3,0.4,8.6,11.8,10.7,36.1,2.6,16.7,15.3,20.3,27.2,1.3,9.7,14.2,12.9,40,-1,20,-1,-1,17.6,0,8.2,0,6.1,31.6,5,12.6,17.2,17.6,24.4,0.9,9.6,11,8.2,9.4,0,4.1,5.8,2.6,39.1,6.6,17.5,18.2,24.5
"011901002",36.7,7.4,14.3,14.3,27.6,30,28.6,22.2,16.7,30,.,.,.,.,.,20.8,3.4,7.7,11.8,12.5,20,4.1,5.2,7.7,10.7,15.3,2.2,4.7,8.1,7.5,23.9,3.6,10,13.2,14.6,15.1,1.7,5.1,8.9,7.7,16.7,20,16.7,16.7,16.7,5.2,0,0,0.9,0.8,17.9,3.3,5.5,10.6,10.6,19.8,1.5,5.7,9,12.6,5.3,0,0,1.5,0,31.1,5.8,12.4,17.9,20.9
"011901005",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901022",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,1.7,0,0,2.8,0,0,0,0,0,0,2.6,0,0,4.2,0,2.9,0,0,4.9,0,3,0,0,4.9,0,-1,.,.,.,.,0,0,0,0,0,0.9,0,0,1.5,0,1.1,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0
"011901033",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
"011901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
