CAMPUS,C29AD16R,C39AD16R,C49AD16R,CA9AD16R,CB9AD16R,CE9AD16R,CF9AD16R,CH9AD16R,CI9AD16R,CL9AD16R,CM9AD16R,CR9AD16R,CS9AD16R,CW9AD16R
"011901001",53.5,66.7,-1,44.8,28.6,33.1,50.2,39.1,40,19.2,40.1,26.7,8.3,53.3
"011901002",41.4,85.7,.,36.3,31.1,29.2,42.7,30.3,16.7,7.1,30,18.4,5.1,52.9
"011901005",-1,-1,.,99,-1,98.2,98.3,98.6,.,83.3,100,96.8,-1,100
"011901022",-1,.,.,3.3,0,2.7,5.8,2.3,.,.,1.2,-1,-1,5.9
"011901033",-1,.,.,4.8,-1,3.3,9.1,0,.,0,3.2,0,0,22.2
"011901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901106",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901107",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901108",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901109",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901110",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902001",40,50,-1,35.5,26,29.8,43.2,30.7,-1,2.1,28.4,10.7,8.7,48.3
"011902003",.,.,.,-1,.,-1,.,-1,.,-1,-1,-1,.,.
"011902004",-1,.,.,8.9,0,6.3,7.4,8,.,-1,10.3,8.2,14.3,15
"011902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011904002",5.6,-1,-1,20.6,6.7,13.4,23.5,20.1,-1,0,17.5,9.5,6,23.7
"011904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011905001",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011905101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014902001",-1,.,.,22.8,0,20,23.9,25.4,.,-1,21.7,20.7,0,26.1
"016901001",-1,-1,.,35.9,.,25.4,43.8,38.3,-1,14.3,29.5,22,19.2,34.7
"016901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"016901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"016902001",57.1,.,.,33.1,.,28.2,35,28.8,-1,0,31.7,18.3,11.8,34.3
"016902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"016902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903001",31.3,-1,-1,31.4,35.7,21.1,35.4,22.7,-1,6.5,27.8,6.5,3.3,34.7
"027903003",-1,.,.,0,-1,0,0,0,-1,-1,0,0,-1,0
"027903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904001",16.7,33.3,-1,24.9,14.7,19.8,32.5,23,0,9.6,17.6,15.5,10.3,27.2
"027904002",.,.,.,0,-1,0,0,0,.,.,0,0,0,0
"027904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027904104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902001",33.3,85.7,-1,42.8,36.7,36.1,48.4,39.5,-1,18.5,37.5,22.2,10.2,54.3
"028902038",-1,.,.,4.4,-1,5.3,6.7,8,.,.,0,4.5,0,0
"028902045",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902105",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902106",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028903001",16.7,-1,.,16.9,4.3,11.9,17.9,13.1,.,4.5,16.1,7.1,8.5,26.4
"028903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028903104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028906001",-1,.,.,27.7,-1,25.8,38.5,14.3,.,.,14.3,10.7,0,41.7
"046802001",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802004",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802007",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802008",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802009",.,.,.,-1,.,-1,.,-1,.,.,-1,-1,-1,.
"046802010",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802011",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802012",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046901001",47.4,42.9,-1,46.4,14,25.3,48.8,35.9,80,17.2,44.2,18.8,8,56.1
"046901002",0,-1,.,2,0,2.4,2.9,3.7,-1,3.3,1.3,2.4,0,0.7
