CAMPUS,C29AD15R,C39AD15R,C49AD15R,CA9AD15R,CB9AD15R,CE9AD15R,CF9AD15R,CH9AD15R,CI9AD15R,CL9AD15R,CM9AD15R,CR9AD15R,CS9AD15R,CW9AD15R
"227912001",22.2,-1,.,32,0,18.4,32,34.7,20,0,31.9,20.7,9.3,32
"227912002",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227912041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227912101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913001",55.1,72.2,.,49.9,46.9,35.8,52.3,42.2,75,23.2,47.8,33.1,17.5,50.3
"227913002",.,.,.,-1,.,.,.,-1,.,.,-1,.,.,-1
"227913041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913042",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913105",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913106",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246801001",-1,17.6,-1,16.9,33.3,-1,14.7,8,.,-1,19.6,.,0,17.1
"246902001",20,0,-1,22.9,33.3,11,24.6,18,-1,6.3,21.5,14.4,9.4,26.2
"246902004",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904001",29.7,57.1,.,39.7,23,22.8,43.1,28,14.3,9.4,36.9,23.1,5.4,45.1
"246904002",-1,.,.,0,-1,0,0,0,.,-1,0,0,0,0
"246904003",-1,.,.,0,-1,-1,-1,-1,.,-1,-1,-1,.,-1
"246904004",40.7,41.7,-1,38,24.2,28.5,42.7,31.4,-1,19.5,34,24.3,10.4,47.1
"246904040",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904042",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904105",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904106",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904107",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904108",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904109",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904110",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246904197",-1,.,.,0,.,-1,-1,-1,.,-1,-1,0,.,-1
"246904199",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246905001",-1,-1,.,28.3,-1,19.7,32.7,12.2,-1,-1,25.6,12.3,12.5,40.7
"246906001",35.2,37.5,-1,27.7,24.2,21.1,28.5,24.2,-1,16.5,26.9,16.2,10.1,31.9
"246906002",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246906041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246906042",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246906101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246906103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246906104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246906106",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246906121",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246907001",50,-1,-1,21.9,13.3,15,26.1,15.6,.,0,18.4,6.3,3.1,26.1
"246907002",.,.,.,-1,.,.,-1,-1,.,-1,.,.,-1,.
"246907004",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246907041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246907101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246907201",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246908001",42.1,20,-1,24.4,18.2,13.2,28.3,17,-1,16.7,20.6,7.6,1.5,25.6
"246908005",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246908006",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246908041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246908101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246908102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246908103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909001",48,57.7,-1,42.1,33.6,22.6,46,30.2,20,8.6,38.3,11.6,3.3,46.7
"246909002",14.3,-1,.,4,0,0,0,0,.,0,5.9,1.3,0,9.1
"246909003",58.6,71.7,-1,55.6,24.7,28.5,55,33.5,37.5,23.5,56.2,25.2,10.3,55.4
"246909004",40.2,59.9,57.1,38.5,21.8,23.8,37.8,30,28.6,34.3,39.2,15.5,4.9,38.1
"246909007",43.2,66.1,40,36.1,34.4,31.7,41.1,31,42.9,25.2,31.1,15.8,5.7,39
"246909008",38.9,66.4,11.1,39.2,25.1,23.4,42.8,32.3,16.7,15,35.8,15.1,7.7,47
"246909011",0,0,.,2.8,0,2.3,3,3.1,-1,2.2,2.6,2,4.8,4.1
"246909012",.,.,.,-1,.,.,.,-1,.,.,-1,-1,.,.
"246909016",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909042",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909043",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909044",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909045",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909046",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909047",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909051",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909052",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909053",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909105",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909106",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909107",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909108",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909109",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909110",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909111",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909113",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909114",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909115",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909116",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909117",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909118",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909119",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909120",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909121",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909122",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909123",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909124",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909125",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909126",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909127",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909128",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909130",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909131",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909132",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909134",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909135",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909136",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909137",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909138",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246909139",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246911001",29.4,60,.,36.7,19.8,28.7,35.5,35.4,-1,10.8,37.9,22.5,4.9,45.1
"246911010",.,.,.,-1,.,-1,.,-1,.,.,-1,-1,-1,.
"246911011",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246911041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246911102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246911103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246911107",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246912001",33.3,.,.,30.9,0,14.6,34,25,-1,-1,27.9,17.4,0,34
"246912042",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246912101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913001",56.3,77.3,50,50.7,49.1,35.3,55.1,42.2,-1,13.8,46.1,28,8.3,54.4
"246913002",60.3,77.4,-1,55.3,38.3,40.5,60.5,50.3,60,54.5,50.5,31.5,12.8,55.5
"246913003",43,79.7,0,49.6,33,30.9,54.6,41.4,28.6,24.2,44.7,26.1,10.5,50.7
"246913004",38.6,62,28.6,47.8,38.7,36.9,52.7,40.9,36.4,5.3,43.3,28.7,14.4,52.5
"246913005",60.3,85.2,.,58.2,31.8,33.6,61.2,50,-1,21.9,55.2,29.7,11.4,57.8
"246913010",.,.,.,-1,.,-1,.,.,.,.,-1,-1,.,-1
"246913011",-1,.,.,13,-1,14.8,12.2,7.7,.,-1,14,10,-1,16.4
"246913012",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913042",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913043",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913044",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913045",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913046",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913047",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913048",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913105",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913106",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913107",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913108",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913109",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913110",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913111",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913112",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913113",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913114",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913115",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913116",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913117",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913118",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913119",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913120",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913121",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913122",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913123",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913124",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246913125",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"246914101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
