CAMPUS,C29AD15R,C39AD15R,C49AD15R,CA9AD15R,CB9AD15R,CE9AD15R,CF9AD15R,CH9AD15R,CI9AD15R,CL9AD15R,CM9AD15R,CR9AD15R,CS9AD15R,CW9AD15R
"075903001",-1,.,.,11.9,3.2,7.3,14.4,12.1,.,0,9.3,1.2,0,14.1
"075903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"075906001",-1,.,.,21.9,-1,18.8,17.1,40,.,.,27.6,7.4,0,21.1
"075908001",0,.,.,30.4,-1,17.6,37.7,36.4,.,-1,15.4,13.6,10,31.7
"075908101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"086024101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"086901001",80,16.7,.,28.8,-1,18.7,31.2,18.9,-1,2,26.8,15.8,7.9,35.4
"086901002",.,.,.,0,.,0,0,0,.,.,0,0,-1,0
"086901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"086901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"086901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"086901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"086902001",-1,.,-1,25.9,-1,25,31.4,18.5,-1,-1,20.9,13,0,26.8
"086902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"086902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"089901001",40,-1,.,17.2,6.7,10.8,19.1,13.8,.,8.6,15.2,11.8,0,26.6
"089901042",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"089901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"089901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"089901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"089901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"089903001",-1,.,.,15.8,-1,14.2,17.1,13.8,.,0,14.8,11.2,0,21.9
"089903002",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"089903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"089903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"089905102",.,-1,.,16.7,0,17.9,9.4,20.7,.,0,22.5,11.8,0,.
"094901001",15.4,46.2,.,33.4,24.1,26.1,37.4,27.9,33.3,16,29.3,21.8,18.8,47.1
"094901002",-1,.,.,1,0,0,0,0,.,0,1.9,0,0,2.9
"094901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"094901042",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"094901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"094901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"094901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"094901105",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"094901106",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"094901108",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"094901109",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"094901110",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"094901111",.,.,.,2.9,-1,4.2,7.7,3.8,.,-1,0,3.4,0,0
"094901112",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"094903001",14.3,-1,.,21.7,22.2,13.4,23.3,19.6,.,16.7,20.6,9,8.8,22.7
